ID,Título,CIE 9,Información,Normativa,SNOMED,Ancestro
1,Modalidades de atención médica,,Se entiende por modalidad de atención la organización de los recursos destinados a la atención de los pacientes de acuerdo a sus necesidades asistenciales.,,,
1.a,Atención en internación,,"Es la modalidad de atención destinada a los individuos que por las características de su proceso patológico requieren cuidados médicos y de enfermería permanentes.

La atención en internación puede realizarse en el propio domicilio del paciente o en el ámbito institucional.

Internación institucional: es la modalidad de internación en la que los cuidados asistenciales permanentes se desarrollan en sanatorio institucional/hospital, propio o contratado.

En esta última modalidad se consideran distintos niveles de cuidado según el tipo de paciente y sus necesidades en atención médica, y las características de la oferta de servicios.",,,1
1.a.1,Cuidados Básicos,,"Sector destinado a la atención de pacientes crónicos o en etapa preclínica o de convalescencia, en período evolutivo NO crítico, con escasa dependencia y autosuficiente, y/o con estabilidad de parámetros fisiológicos y compromiso mínimo de uno o más sistemas, y en situación de bajo riesgo de complicaciones.  Se incluye en este nivel de cuidados aquellos pacientes crónicos que requieren cuidados permanentes mínimos en los que las alternativas terapéuticas son de carácter meramente paliativo. Sólo se considerará como cuidados básicos aquellos sectores de internación específicamente diseñados y destinados a tal fin, tales como sector destinado a adultos Mayores de alto riesgo, o pacientes geriátricos, o sectores destinados específicamente a cuidados paliativos, a los que se les haya asignado un número de camas de dotación predefinido.",,,1.a
1.a.2,Cuidados moderados (en habitación semi-privada),,"Sector destinado a pacientes en etapa aguda, en período no crítico, con escasa dependencia y estabilidad de parámetros, con compromiso moderado de uno o más sistemas y en situación de riesgo de complicaciones. Sólo se considerarán los sectores destinados a la internación de este tipo de pacientes, y a los que se les haya asignado un número específico de camas de internación. Se trata del sector de internación convencional.",,,"1.a"
1.a.3,Cuidados especiales: intermedios e intensivos (aislamiento),,,,,1.a
1.a.3.1,Cuidados Intermedios,,"Sector destinado a pacientes en etapa aguda, en período no crítico, con dependencia marcada, estabilidad de parámetros sin compromiso severo de uno o más sistemas, con riesgo moderado de complicaciones pero sin riesgo de muerte inminente.",,,1.a.3
1.a.3.2,Cuidados Intensivos,,"Sector destinado a pacientes en etapa aguda, período crítico, muy dependientes, con inestabilidad de parámetros fisiológicos y compromiso severo de uno o más sistemas, con alto riego de complicaciones y riesgo de muerte.
Se considerarán globalmente los sectores de cuidados intermedios e intensivos, los cuales deben corresponder a sectores de internación específicamente destinados a estos fines con un número determinado de camas asignadas.",,,1.a.3
1.a.4,Internación Psiquiátrica,,"Internación Psiquiátrica con un máximo de 30 días por año calendario, excepto convenios en contrario suscritos por el FONASA y los prestadores integrales.",,,1.a
1.a.5,Internación Domiciliaria (opcional),,"Es la modalidad de internación en la que los cuidados asistenciales permanentes se instrumentan en el domicilio del paciente, dentro del marco de un programa específico definido por la institución de acuerdo a la normativa del MSP.",,,1.a
1.b,Atención Ambulatoria,,"Es la modalidad de actuación realizada por uno o más del equipo de salud a pacientes en régimen de no internación, ya sea en el ámbito institucional o en domicilio.",,,1
